feature,n_total,n_valid,n_missing,missing_fraction,availability_fraction,availability_pct
g_ls_best_frequency,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_ls_best_period_days,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_ls_best_power,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_ls_fap,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_ls_max_period_days,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_ls_min_period_days,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_amplitude,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_bright_fraction,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_iqr,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_max_mag_phase,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_min_mag_phase,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_robust_amplitude,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
g_phase_skewness,150,77,73,0.4866666666666667,0.5133333333333333,51.33333333333333
r_ls_best_frequency,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_ls_best_period_days,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_ls_best_power,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_ls_fap,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_ls_max_period_days,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_ls_min_period_days,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_amplitude,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_bright_fraction,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_iqr,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_max_mag_phase,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_min_mag_phase,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_robust_amplitude,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
r_phase_skewness,150,82,68,0.4533333333333333,0.5466666666666666,54.666666666666664
g_amplitude_mag,150,116,34,0.22666666666666666,0.7733333333333333,77.33333333333333
g_baseline_days,150,116,34,0.22666666666666666,0.7733333333333333,77.33333333333333
g_iqr_mag,150,116,34,0.22666666666666666,0.7733333333333333,77.33333333333333
